Date,Open,High,Low,Close,Volume
2022-03-10 16:00:00,2597.49,2606.0,2583.59,2594.9,29001.588
2022-03-10 17:00:00,2594.9,2604.22,2584.8,2592.59,14086.3963
2022-03-10 18:00:00,2592.59,2603.4,2585.5,2596.79,13110.6263
2022-03-10 19:00:00,2596.8,2618.1,2592.59,2613.32,12747.8877
2022-03-10 20:00:00,2613.32,2621.24,2601.09,2618.43,9332.1943
2022-03-10 21:00:00,2618.42,2621.0,2601.08,2603.43,7726.2379
2022-03-10 22:00:00,2603.44,2614.88,2591.41,2612.41,5661.5383
2022-03-10 23:00:00,2612.4,2618.51,2603.69,2606.7,8634.5595
2022-03-11 00:00:00,2606.69,2610.61,2586.4,2594.21,12618.2151
2022-03-11 01:00:00,2594.21,2595.42,2556.71,2564.38,23154.5461
2022-03-11 02:00:00,2564.37,2569.49,2523.49,2528.86,29278.1275
2022-03-11 03:00:00,2528.85,2555.11,2522.57,2551.95,19775.5125
2022-03-11 04:00:00,2551.95,2553.0,2533.69,2539.15,11270.4527
2022-03-11 05:00:00,2539.15,2565.99,2535.9,2565.01,12991.8376
2022-03-11 06:00:00,2565.01,2592.76,2560.62,2583.46,19804.4536
2022-03-11 07:00:00,2583.47,2617.53,2581.98,2608.67,26443.5402
2022-03-11 08:00:00,2608.67,2612.96,2591.15,2597.44,15048.2583
2022-03-11 09:00:00,2597.44,2609.42,2592.04,2600.2,9552.3359
2022-03-11 10:00:00,2600.2,2608.77,2597.51,2599.46,9128.5105
2022-03-11 11:00:00,2599.47,2669.91,2580.0,2652.63,67095.3635
2022-03-11 12:00:00,2652.63,2676.78,2643.3,2653.84,31554.5282
2022-03-11 13:00:00,2653.83,2656.24,2611.05,2619.11,28529.7911
2022-03-11 14:00:00,2619.1,2636.82,2600.73,2609.99,27590.1305
2022-03-11 15:00:00,2609.99,2610.0,2568.16,2581.11,30956.6804
2022-03-11 16:00:00,2581.11,2581.49,2551.52,2560.03,28088.6786
2022-03-11 17:00:00,2560.02,2569.0,2545.3,2565.39,14983.6307
2022-03-11 18:00:00,2565.38,2572.61,2555.18,2556.82,12977.1719
2022-03-11 19:00:00,2556.83,2567.58,2551.56,2557.3,8440.0024
2022-03-11 20:00:00,2557.3,2563.0,2526.76,2531.59,21409.9794
2022-03-11 21:00:00,2531.59,2588.12,2531.58,2572.17,18415.6404
2022-03-11 22:00:00,2572.17,2581.85,2567.0,2570.42,7336.1103
2022-03-11 23:00:00,2570.43,2571.01,2555.88,2556.86,8140.1594
2022-03-12 00:00:00,2556.86,2583.74,2553.39,2581.59,13838.9484
2022-03-12 01:00:00,2581.59,2596.35,2577.0,2588.56,8831.47
2022-03-12 02:00:00,2588.55,2597.18,2576.43,2580.14,7045.792
2022-03-12 03:00:00,2580.15,2595.7,2578.75,2583.86,6657.6687
2022-03-12 04:00:00,2583.85,2590.71,2568.75,2584.23,8620.816
2022-03-12 05:00:00,2584.23,2593.65,2578.0,2590.54,4512.0729
2022-03-12 06:00:00,2590.53,2600.32,2583.69,2586.43,7867.7731
2022-03-12 07:00:00,2586.43,2592.0,2580.8,2589.25,6335.6207
2022-03-12 08:00:00,2589.25,2590.8,2573.22,2581.81,7430.651
2022-03-12 09:00:00,2581.81,2591.82,2578.72,2588.53,6515.4066
2022-03-12 10:00:00,2588.59,2593.0,2580.19,2586.87,6716.9064
2022-03-12 11:00:00,2586.88,2588.5,2574.79,2578.83,5682.4308
2022-03-12 12:00:00,2578.82,2590.51,2575.56,2588.7,8984.4434
2022-03-12 13:00:00,2588.71,2596.35,2582.99,2584.07,9728.8692
2022-03-12 14:00:00,2584.08,2588.39,2562.0,2572.74,13211.7703
2022-03-12 15:00:00,2572.74,2591.26,2567.93,2584.67,8728.295
2022-03-12 16:00:00,2584.67,2600.08,2581.27,2595.15,26928.5893
2022-03-12 17:00:00,2595.15,2616.79,2587.66,2589.57,29173.4946
2022-03-12 18:00:00,2589.57,2590.45,2578.03,2582.68,7150.7931
2022-03-12 19:00:00,2582.68,2584.36,2575.48,2578.19,6201.9134
2022-03-12 20:00:00,2578.19,2592.32,2575.41,2587.61,6816.176
2022-03-12 21:00:00,2587.61,2592.66,2584.03,2586.66,2767.6197
2022-03-12 22:00:00,2586.67,2592.77,2584.5,2587.29,3295.8657
2022-03-12 23:00:00,2587.29,2591.37,2563.0,2568.8,6193.1848
2022-03-13 00:00:00,2568.8,2575.32,2558.69,2571.77,10487.9647
2022-03-13 01:00:00,2571.76,2598.99,2570.59,2587.21,13564.553
2022-03-13 02:00:00,2587.2,2603.32,2585.66,2591.68,8353.6631
2022-03-13 03:00:00,2591.69,2596.0,2589.0,2591.92,5131.9249
2022-03-13 04:00:00,2591.91,2596.75,2585.0,2586.54,3967.6344
2022-03-13 05:00:00,2586.54,2589.96,2582.48,2584.41,2744.5676
2022-03-13 06:00:00,2584.42,2590.0,2580.85,2588.48,4522.4838
2022-03-13 07:00:00,2588.47,2591.57,2580.59,2580.91,4998.1329
2022-03-13 08:00:00,2580.92,2584.79,2575.88,2580.63,8748.6286
2022-03-13 09:00:00,2580.63,2580.98,2570.0,2580.7,12094.7065
2022-03-13 10:00:00,2580.69,2589.29,2579.65,2588.57,11368.4226
2022-03-13 11:00:00,2588.57,2595.78,2564.39,2574.23,27378.4189
2022-03-13 12:00:00,2574.23,2575.34,2533.54,2540.0,28451.627
2022-03-13 13:00:00,2539.99,2571.4,2536.67,2560.62,19425.241
2022-03-13 14:00:00,2560.61,2571.22,2558.2,2565.9,8828.1947
2022-03-13 15:00:00,2565.89,2591.0,2565.47,2579.71,30587.7708
2022-03-13 16:00:00,2579.71,2586.33,2570.0,2582.81,9957.6118
2022-03-13 17:00:00,2582.8,2586.39,2576.75,2578.67,7600.5369
2022-03-13 18:00:00,2578.68,2584.38,2576.89,2580.61,3855.3771
2022-03-13 19:00:00,2580.61,2583.87,2562.09,2563.28,6040.9685
2022-03-13 20:00:00,2563.29,2563.29,2544.26,2545.92,11036.5652
2022-03-13 21:00:00,2545.93,2562.38,2542.62,2560.76,6356.3444
2022-03-13 22:00:00,2560.75,2573.89,2500.0,2504.83,47459.5565
2022-03-13 23:00:00,2504.82,2523.36,2493.0,2515.65,23981.2652
2022-03-14 00:00:00,2515.66,2526.54,2498.67,2519.16,15019.8811
2022-03-14 01:00:00,2519.16,2546.23,2519.15,2529.96,17478.1514
2022-03-14 02:00:00,2529.96,2534.91,2523.52,2524.98,10507.9057
2022-03-14 03:00:00,2524.98,2537.42,2518.17,2534.07,8166.1503
2022-03-14 04:00:00,2534.07,2605.2,2532.18,2570.26,44948.9808
2022-03-14 05:00:00,2570.26,2581.0,2564.99,2566.74,8771.6586
2022-03-14 06:00:00,2566.8,2583.0,2565.6,2575.26,11469.7659
2022-03-14 07:00:00,2575.27,2594.11,2572.64,2586.58,15368.0656
2022-03-14 08:00:00,2586.58,2604.14,2582.95,2593.62,20332.779
2022-03-14 09:00:00,2593.61,2609.6,2586.31,2596.9,16438.201
2022-03-14 10:00:00,2596.91,2598.97,2583.51,2592.54,11638.4714
2022-03-14 11:00:00,2592.54,2593.91,2576.28,2579.81,12984.5052
2022-03-14 12:00:00,2579.81,2584.49,2566.29,2573.05,13532.8917
2022-03-14 13:00:00,2573.05,2581.66,2555.54,2577.82,20234.3227
2022-03-14 14:00:00,2577.82,2592.68,2570.84,2587.18,20943.4716
2022-03-14 15:00:00,2587.18,2592.0,2566.29,2573.0,12687.6199
2022-03-14 16:00:00,2573.0,2581.82,2558.84,2559.67,13321.2727
2022-03-14 17:00:00,2559.66,2560.58,2532.22,2537.03,20387.519
2022-03-14 18:00:00,2537.02,2541.48,2515.0,2529.83,21430.5336
2022-03-14 19:00:00,2529.83,2538.39,2523.13,2536.43,12142.385
2022-03-14 20:00:00,2536.43,2546.52,2522.87,2526.74,12104.9163
2022-03-14 21:00:00,2526.75,2542.12,2523.12,2541.27,5021.34
2022-03-14 22:00:00,2541.27,2590.0,2538.37,2570.77,26361.4837
2022-03-14 23:00:00,2570.77,2596.14,2570.76,2589.41,15337.919
2022-03-15 00:00:00,2589.42,2602.72,2576.09,2587.68,31628.1426
2022-03-15 01:00:00,2587.69,2589.85,2537.1,2544.03,23877.9811
2022-03-15 02:00:00,2544.03,2571.51,2541.7,2561.79,11207.9371
2022-03-15 03:00:00,2561.79,2565.75,2538.38,2544.17,10954.8197
2022-03-15 04:00:00,2544.16,2553.26,2539.04,2546.3,6835.6503
2022-03-15 05:00:00,2546.3,2552.27,2542.0,2549.57,6225.8047
2022-03-15 06:00:00,2549.57,2563.29,2542.85,2543.81,11030.1171
2022-03-15 07:00:00,2543.81,2544.43,2507.0,2532.27,25876.9178
2022-03-15 08:00:00,2532.27,2534.73,2514.36,2516.62,33888.8673
2022-03-15 09:00:00,2516.63,2535.77,2510.37,2529.63,10635.2244
2022-03-15 10:00:00,2529.63,2538.79,2526.19,2535.24,7669.0392
2022-03-15 11:00:00,2535.24,2544.33,2530.09,2534.8,9399.2145
2022-03-15 12:00:00,2534.8,2550.29,2530.83,2548.69,11564.1491
2022-03-15 13:00:00,2548.69,2548.92,2520.66,2534.28,15947.9177
2022-03-15 14:00:00,2534.29,2568.84,2530.64,2557.69,24977.5075
2022-03-15 15:00:00,2557.68,2592.66,2554.07,2571.63,26408.327
2022-03-15 16:00:00,2571.63,2621.79,2567.45,2602.25,42719.2876
2022-03-15 17:00:00,2602.25,2607.0,2581.22,2599.61,20108.8451
2022-03-15 18:00:00,2599.6,2637.91,2591.34,2626.52,22595.3168
2022-03-15 19:00:00,2626.52,2660.96,2626.04,2659.44,49207.3734
2022-03-15 20:00:00,2659.43,2669.0,2621.55,2624.91,21565.2771
2022-03-15 21:00:00,2624.91,2634.84,2606.1,2632.66,17053.4312
2022-03-15 22:00:00,2632.67,2643.95,2618.5,2621.74,9715.909
2022-03-15 23:00:00,2621.75,2631.37,2612.71,2617.73,10109.2441
2022-03-16 00:00:00,2617.74,2629.69,2603.38,2611.14,11776.9264
2022-03-16 01:00:00,2611.14,2649.99,2607.27,2643.62,18915.1503
2022-03-16 02:00:00,2643.63,2735.0,2641.57,2691.14,74992.1991
2022-03-16 03:00:00,2691.14,2695.02,2605.76,2620.4,47379.7069
2022-03-16 04:00:00,2620.41,2629.0,2606.46,2618.92,14059.6676
2022-03-16 05:00:00,2618.92,2632.92,2611.96,2628.3,10609.0016
2022-03-16 06:00:00,2628.29,2648.24,2626.13,2646.56,10080.5885
2022-03-16 07:00:00,2646.55,2648.85,2634.81,2646.49,10334.6379
2022-03-16 08:00:00,2646.49,2685.02,2644.63,2675.17,27446.8641
2022-03-16 09:00:00,2675.18,2692.36,2669.98,2684.7,21173.6565
2022-03-16 10:00:00,2684.7,2695.88,2671.17,2675.39,17708.9078
2022-03-16 11:00:00,2675.39,2703.66,2670.67,2688.12,17221.4887
2022-03-16 12:00:00,2688.11,2697.98,2665.95,2670.55,13963.7335
2022-03-16 13:00:00,2670.54,2689.03,2662.05,2684.39,14620.5259
2022-03-16 14:00:00,2684.39,2718.0,2671.99,2711.24,53018.0693
2022-03-16 15:00:00,2711.25,2724.07,2698.62,2704.47,18320.0979
2022-03-16 16:00:00,2704.48,2723.28,2681.23,2691.03,30953.4682
2022-03-16 17:00:00,2691.02,2712.64,2673.74,2704.95,20539.883
2022-03-16 18:00:00,2704.95,2716.27,2632.91,2676.37,96095.2449
2022-03-16 19:00:00,2676.37,2756.03,2670.0,2753.17,57846.8275
2022-03-16 20:00:00,2753.16,2788.0,2740.81,2772.81,40770.1938
2022-03-16 21:00:00,2772.82,2786.36,2756.66,2765.74,15855.801
2022-03-16 22:00:00,2765.74,2770.69,2743.68,2746.93,10833.6039
2022-03-16 23:00:00,2746.93,2776.3,2742.88,2773.81,11708.4774
2022-03-17 00:00:00,2773.8,2782.58,2753.0,2767.85,13638.2083
2022-03-17 01:00:00,2767.85,2787.4,2752.64,2773.33,12266.5412
2022-03-17 02:00:00,2773.32,2781.29,2762.22,2775.25,10787.3927
2022-03-17 03:00:00,2775.25,2778.37,2764.61,2766.51,16536.1385
2022-03-17 04:00:00,2766.51,2774.4,2756.0,2773.1,11316.9946
2022-03-17 05:00:00,2773.1,2775.34,2756.61,2760.08,16179.9166
2022-03-17 06:00:00,2760.07,2766.37,2746.42,2752.61,14142.6879
2022-03-17 07:00:00,2752.6,2763.28,2748.42,2755.36,12305.5027
2022-03-17 08:00:00,2755.35,2772.65,2752.85,2769.17,11388.448
2022-03-17 09:00:00,2769.17,2772.59,2762.42,2767.97,8603.9121
2022-03-17 10:00:00,2767.97,2776.32,2751.29,2771.18,19733.4425
2022-03-17 11:00:00,2771.17,2778.83,2764.1,2775.26,11159.1039
2022-03-17 12:00:00,2775.27,2818.67,2771.43,2806.52,38750.8156
2022-03-17 13:00:00,2806.51,2823.0,2798.6,2818.57,28306.6422
2022-03-17 14:00:00,2818.57,2836.0,2793.99,2799.94,39494.9001
2022-03-17 15:00:00,2799.93,2819.99,2794.55,2801.35,16399.7859
2022-03-17 16:00:00,2801.36,2814.68,2788.68,2795.74,15919.9609
2022-03-17 17:00:00,2795.73,2812.05,2774.17,2806.68,19098.9881
2022-03-17 18:00:00,2806.68,2817.09,2804.79,2813.38,11158.0327
2022-03-17 19:00:00,2813.38,2834.35,2807.56,2828.77,17532.4505
2022-03-17 20:00:00,2828.78,2829.0,2799.17,2806.74,12249.8235
2022-03-17 21:00:00,2806.73,2821.28,2801.63,2820.34,6883.69
2022-03-17 22:00:00,2820.34,2822.89,2809.47,2819.31,7865.652
2022-03-17 23:00:00,2819.31,2820.68,2809.54,2811.92,7593.5105
2022-03-18 00:00:00,2811.91,2813.54,2765.59,2775.07,35103.4766
2022-03-18 01:00:00,2775.07,2788.43,2767.81,2787.45,16682.1391
2022-03-18 02:00:00,2787.45,2788.91,2776.14,2782.42,11307.3779
2022-03-18 03:00:00,2782.42,2787.75,2770.6,2777.15,11454.8315
2022-03-18 04:00:00,2777.15,2782.5,2770.26,2779.96,11993.9408
2022-03-18 05:00:00,2779.97,2806.94,2779.96,2801.82,15751.8204
2022-03-18 06:00:00,2801.83,2810.11,2795.61,2799.7,14488.1406
2022-03-18 07:00:00,2799.69,2804.01,2790.0,2794.15,15876.2284
2022-03-18 08:00:00,2794.15,2814.99,2783.42,2800.83,20864.581
2022-03-18 09:00:00,2800.83,2806.58,2793.61,2795.94,16219.245
2022-03-18 10:00:00,2795.94,2812.96,2793.95,2795.6,16761.6664
2022-03-18 11:00:00,2795.6,2799.25,2779.75,2796.52,18770.0548
2022-03-18 12:00:00,2796.51,2822.71,2791.72,2805.32,26268.1077
2022-03-18 13:00:00,2805.32,2813.0,2788.73,2811.65,18737.7515
2022-03-18 14:00:00,2811.65,2859.48,2808.83,2844.49,49471.987
2022-03-18 15:00:00,2844.49,2901.73,2842.43,2896.67,51692.2563
2022-03-18 16:00:00,2896.66,2925.32,2882.0,2922.72,40376.0172
2022-03-18 17:00:00,2922.72,2946.0,2915.03,2935.42,35795.2673
2022-03-18 18:00:00,2935.41,2939.82,2922.11,2932.39,23119.8904
2022-03-18 19:00:00,2932.38,2968.33,2931.59,2966.0,29751.2716
2022-03-18 20:00:00,2966.01,2984.0,2946.18,2947.59,30299.8888
2022-03-18 21:00:00,2947.58,2955.81,2940.27,2952.47,15822.5365
2022-03-18 22:00:00,2952.47,2961.19,2930.63,2931.69,16809.3654
2022-03-18 23:00:00,2931.68,2949.7,2931.23,2938.92,13117.9544
