OpenTime,OMG-USDT_Open,OMG-USDT_High,OMG-USDT_Low,OMG-USDT_Close,OMG-USDT_volume,CloseTime,OMG-QuoteAssetVolume,OMG-NumberOfTrades,OMG-TBBAV,OMG-TBQAV,OMG-ignore,LTC-USDT_Open,LTC-USDT_High,LTC-USDT_Low,LTC-USDT_Close,LTC-USDT_volume,LTC-QuoteAssetVolume,LTC-NumberOfTrades,LTC-TBBAV,LTC-TBQAV,LTC-ignore,ETH-USDT_Open,ETH-USDT_High,ETH-USDT_Low,ETH-USDT_Close,ETH-USDT_volume,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore,BTC-USDT_Open,BTC-USDT_High,BTC-USDT_Low,BTC-USDT_Close,BTC-USDT_volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
1648846800000,5.85200000,5.92400000,5.84900000,5.91800000,55040.30000000,1648850399999,323390.27160000,1315,30688.30000000,180432.14930000,0,125.30000000,125.70000000,125.00000000,125.60000000,7545.23600000,945829.74380000,1746,3936.21100000,493679.08280000,0,3441.13000000,3461.38000000,3440.41000000,3451.29000000,6813.39260000,23526463.28903400,16334,3607.54850000,12456041.55680600,0,46145.37000000,46439.56000000,46142.00000000,46305.07000000,704.81870000,32619711.04074360,35113,383.51116000,17750267.99298380,0
1648850400000,5.92000000,5.92800000,5.84300000,5.87900000,42781.00000000,1648853999999,251937.79230000,1386,17083.10000000,100568.02950000,0,125.60000000,125.90000000,124.60000000,125.30000000,7813.39000000,979193.85200000,2101,3698.68600000,463479.43190000,0,3451.29000000,3457.81000000,3431.93000000,3451.31000000,10790.47380000,37186765.42315900,24257,5327.79830000,18360933.18241100,0,46305.07000000,46398.00000000,46150.00000000,46368.41000000,1035.63658000,47953309.67930140,34860,490.06795000,22692819.05037670,0
1648854000000,5.87800000,5.93200000,5.81500000,5.91400000,68744.40000000,1648857599999,403280.77750000,2535,37052.60000000,217455.93640000,0,125.30000000,125.40000000,124.50000000,124.80000000,8383.65100000,1046524.84690000,2298,3893.41900000,485983.63200000,0,3451.30000000,3456.40000000,3426.41000000,3455.21000000,9298.92980000,32010457.06232800,20362,4621.87130000,15911108.21072800,0,46368.42000000,46368.42000000,46120.20000000,46283.49000000,737.49098000,34093262.56498320,33501,356.72105000,16488882.33507660,0
1648857600000,5.91300000,5.95600000,5.82500000,5.94200000,190455.80000000,1648861199999,1123309.43780000,5891,92954.50000000,548195.38300000,0,124.80000000,127.10000000,124.20000000,126.90000000,33627.43900000,4227190.96750000,7239,17033.75200000,2141899.30640000,0,3455.20000000,3525.13000000,3438.78000000,3511.33000000,49566.41590000,172969166.28336600,81869,27565.52310000,96179424.38416600,0,46283.49000000,47213.00000000,46081.93000000,46894.92000000,4001.40201000,186446899.25149830,86675,2385.53846000,111160338.60757710,0
1648861200000,5.93900000,5.95800000,5.88900000,5.95200000,81466.70000000,1648864799999,482832.87850000,3553,44962.80000000,266483.27190000,0,126.80000000,127.20000000,126.00000000,126.80000000,29356.83300000,3715454.28690000,5203,14976.64200000,1895807.34450000,0,3511.32000000,3522.50000000,3467.31000000,3482.54000000,35178.66330000,122833074.28057900,49080,16551.77650000,57803713.64969000,0,46894.91000000,47073.67000000,46501.00000000,46745.50000000,2867.03679000,134071807.96090380,58705,1405.42848000,65726742.67166230,0
1648864800000,5.95100000,6.02700000,5.93100000,5.99100000,182078.60000000,1648868399999,1090406.36410000,8581,99730.60000000,597253.51560000,0,126.90000000,127.00000000,125.90000000,126.30000000,18370.46300000,2323389.55100000,3024,9636.93000000,1219112.00940000,0,3482.54000000,3495.14000000,3445.00000000,3468.33000000,20881.29800000,72503092.24136200,44138,10379.44710000,36047538.32086300,0,46745.49000000,46844.59000000,46233.83000000,46497.90000000,1920.91296000,89450949.51006590,48722,965.29611000,44946750.46926820,0
1648868400000,5.98500000,6.02900000,5.95300000,5.99200000,167551.00000000,1648871999999,1005890.44680000,3747,76640.60000000,460185.85190000,0,126.30000000,126.50000000,125.90000000,126.20000000,8925.46000000,1126245.91740000,1664,5458.42400000,688920.32380000,0,3468.34000000,3474.98000000,3453.12000000,3474.98000000,9926.35440000,34389623.82216000,22084,4539.83770000,15726507.03032300,0,46497.90000000,46599.94000000,46371.00000000,46599.93000000,775.09354000,36022393.48226170,34611,371.91599000,17284372.66380420,0
1648872000000,5.99400000,6.00600000,5.95300000,5.99900000,94937.10000000,1648875599999,567625.94770000,2488,44661.60000000,266972.90080000,0,126.20000000,126.80000000,126.20000000,126.50000000,8986.86500000,1136883.48380000,1841,5005.27000000,633268.75460000,0,3474.97000000,3489.08000000,3462.41000000,3478.98000000,12191.53100000,42360984.93843000,20944,6114.13020000,21245637.50994400,0,46599.93000000,46684.40000000,46489.50000000,46529.71000000,791.21832000,36842088.24391540,28419,391.26422000,18219157.02725330,0
1648875600000,5.99900000,6.01200000,5.96400000,5.99100000,59277.20000000,1648879199999,355212.45860000,1684,28369.70000000,169978.45740000,0,126.50000000,126.90000000,126.20000000,126.70000000,7348.72000000,930279.00070000,1532,3188.71200000,403660.59610000,0,3478.97000000,3484.95000000,3464.66000000,3481.02000000,10404.28340000,36165309.99209000,17963,4794.39990000,16664368.36382300,0,46529.70000000,46600.00000000,46410.63000000,46541.38000000,658.54109000,30632784.33925630,25191,333.66018000,15519933.47525310,0
1648879200000,5.99300000,6.01100000,5.96400000,6.00600000,77860.00000000,1648882799999,466300.02500000,2129,42798.50000000,256310.37180000,0,126.60000000,127.00000000,126.40000000,126.90000000,8890.40600000,1125850.01900000,2030,4637.53900000,587441.55760000,0,3481.03000000,3494.17000000,3471.55000000,3488.79000000,14214.63050000,49481745.91288900,19167,6780.56700000,23601399.91058500,0,46541.38000000,46648.73000000,46462.79000000,46632.28000000,916.97927000,42670943.23575760,27577,519.39052000,24167045.55955630,0
1648882800000,6.00600000,6.04800000,5.97800000,6.02800000,79485.50000000,1648886399999,477604.97970000,3302,41652.50000000,250311.74770000,0,126.90000000,127.10000000,126.40000000,126.80000000,8606.06700000,1090917.45010000,2041,3961.47900000,502329.84560000,0,3488.78000000,3496.17000000,3472.50000000,3484.64000000,17848.07590000,62193717.63601000,24261,8106.10840000,28233991.18495400,0,46632.28000000,46644.42000000,46419.38000000,46584.49000000,945.54588000,43993250.30785380,33276,439.96670000,20470352.30555450,0
1648886400000,6.03100000,6.04000000,5.98000000,6.04000000,91587.30000000,1648889999999,550925.80150000,2699,50209.60000000,302058.55430000,0,126.70000000,127.10000000,126.40000000,126.70000000,9299.09300000,1179054.74190000,1963,4057.78000000,514770.51040000,0,3484.65000000,3485.11000000,3470.25000000,3477.34000000,13871.18950000,48250434.37927300,19830,6717.63520000,23366249.99910600,0,46584.49000000,46589.64000000,46490.00000000,46551.39000000,999.53272000,46525526.37486290,32663,449.79616000,20935382.46029830,0
1648890000000,6.03900000,6.06800000,6.02600000,6.06200000,77242.70000000,1648893599999,467334.67250000,4051,37918.40000000,229430.33950000,0,126.70000000,127.40000000,126.50000000,127.40000000,9301.17600000,1181274.02460000,2508,5042.89700000,640490.23900000,0,3477.34000000,3497.29000000,3472.02000000,3494.30000000,13555.56760000,47202358.22648300,21484,7714.45940000,26868385.37100500,0,46551.40000000,46734.76000000,46515.75000000,46682.50000000,1110.14138000,51752453.38252960,32720,578.45486000,26969385.07214340,0
1648893600000,6.06100000,6.07900000,6.03300000,6.07400000,106228.40000000,1648897199999,643360.30650000,3048,44206.40000000,267875.96430000,0,127.40000000,127.50000000,126.60000000,127.50000000,10432.29100000,1326066.39980000,2378,5858.80000000,745006.98030000,0,3494.30000000,3495.93000000,3476.31000000,3493.71000000,14016.13750000,48850198.41156900,20476,5785.18740000,20164920.35685200,0,46682.50000000,46719.49000000,46548.41000000,46719.49000000,919.09468000,42845593.86759790,31544,405.05368000,18883919.20813300,0
1648897200000,6.07300000,6.10700000,6.04100000,6.06400000,124515.20000000,1648900799999,756468.65090000,4633,66423.70000000,403596.15100000,0,127.60000000,127.60000000,126.60000000,126.90000000,10667.24100000,1354711.42410000,2827,5211.01500000,661934.43780000,0,3493.71000000,3500.00000000,3486.99000000,3488.01000000,12831.65350000,44818371.46588900,20843,7198.03610000,25145325.27526700,0,46719.49000000,46753.15000000,46542.84000000,46542.84000000,782.48373000,36495218.88669010,32051,364.94186000,17020606.11553660,0
1648900800000,6.06200000,6.06400000,5.92000000,6.01100000,255871.80000000,1648904399999,1539229.49570000,9813,134333.70000000,808097.89130000,0,126.90000000,128.00000000,125.20000000,127.30000000,53139.00800000,6743823.37840000,10856,27707.73400000,3519562.04770000,0,3488.01000000,3532.20000000,3464.32000000,3508.36000000,55518.06230000,194527291.19881500,70422,29310.77500000,102743674.57954100,0,46542.84000000,46880.97000000,46225.75000000,46717.49000000,3429.52786000,159940563.74980880,71117,1789.54313000,83443445.01153610,0
1648904400000,6.01100000,6.04100000,5.97800000,6.00500000,107248.90000000,1648907999999,644856.71320000,2763,58737.60000000,353103.70080000,0,127.30000000,128.30000000,127.20000000,127.40000000,17971.75900000,2296316.26620000,4888,10044.43200000,1283818.67700000,0,3508.37000000,3526.69000000,3498.09000000,3504.27000000,24442.60310000,85928743.83797800,37393,12307.32510000,43267974.96628100,0,46717.49000000,46941.11000000,46648.68000000,46735.11000000,1652.80154000,77372475.20303130,47434,845.57941000,39582609.12204970,0
